# create_lambda_band.py -l 7 -e 100 -n3lo
# N3LO cross-section {center, min, max}
1.1317963 1.1313926 1.1332442 


# N3LO ptHH {ptmin, ptmax, center, min, max}
0.8 0.9 0.19719421 0.19713974 0.19741637 
0.9 1.0 0.19449775 0.19442677 0.19468598 
1.0 1.1 0.19155957 0.19145297 0.19173652 
1.1 1.2 0.18816351 0.18805504 0.18838179 
1.2 1.3 0.18450452 0.18446018 0.18471505 
1.3 1.4 0.18098507 0.18092962 0.18121431 
1.4 1.5 0.17678775 0.17674157 0.17696935 
1.5 1.6 0.17305097 0.17295461 0.17326307 
1.6 1.7 0.16804418 0.16803243 0.16821806 
1.7 1.8 0.16356977 0.16347944 0.16375965 
1.8 1.9 0.15818748 0.15813842 0.15838357 
1.9 2.0 0.15253833 0.15249674 0.15271448 
2.0 2.1 0.14731557 0.1472542 0.14754167 
2.1 2.2 0.14163721 0.14163648 0.14180198 
2.2 2.3 0.13593602 0.13587198 0.13612676 
2.3 2.4 0.12965975 0.129564 0.12980779 
2.4 2.5 0.12329485 0.12327916 0.12346916 
2.5 2.6 0.11729437 0.11723855 0.11750649 
2.6 2.7 0.11028774 0.11025595 0.11044067 
2.7 2.8 0.103992 0.10391837 0.1041419 
2.8 2.9 0.097266631 0.097266631 0.097440749 
2.9 3.0 0.091069518 0.09101953 0.091211427 
3.0 3.1 0.084206519 0.084160706 0.084370633 
3.1 3.2 0.077585746 0.077551001 0.07770144 
3.2 3.3 0.071151049 0.071139327 0.071303946 
3.3 3.4 0.064943533 0.064901187 0.065036618 
3.4 3.5 0.058681914 0.058662056 0.058831542 
3.5 3.6 0.052939022 0.052924776 0.053055219 
3.6 3.7 0.04697575 0.046949805 0.047058946 
3.7 3.8 0.041182061 0.04113999 0.041254123 
3.8 3.9 0.035861762 0.035842499 0.035973466 
3.9 4.0 0.031184341 0.031149234 0.03125484 
4.0 4.1 0.026805836 0.026804419 0.026858612 
4.1 4.2 0.022566626 0.022552138 0.022629316 
4.2 4.3 0.018902639 0.018866603 0.01897274 
4.3 4.4 0.015548426 0.015538667 0.01556447 
4.4 4.5 0.012630705 0.012619483 0.012666134 
4.5 4.6 0.0099072097 0.0099040055 0.0099338829 
4.6 4.7 0.0076744809 0.0076491901 0.0076911498 
4.7 4.8 0.0059949758 0.005988879 0.0060162705 
4.8 4.9 0.0044699656 0.0044645887 0.0044834264 
4.9 5.0 0.0031253646 0.003114767 0.003134261 


