# create_lambda_band.py -l -5.0 -nlo
# NLO cross-section {center, min, max}
0.22703297 0.22588131 0.22801753 


# NLO ptHH {ptmin, ptmax, center, min, max}
-0.3 -0.2 0.055390278 0.055107177 0.055676099 
-0.2 -0.1 0.055624332 0.055307077 0.055924773 
-0.1 0.0 0.055759776 0.055450286 0.056042336 
0.0 0.1 0.055801045 0.055490543 0.056102907 
0.1 0.2 0.055603414 0.055296896 0.055878533 
0.2 0.3 0.055326327 0.055028347 0.05564737 
0.3 0.4 0.054806435 0.054533003 0.055098719 
0.4 0.5 0.054260987 0.053952594 0.054554498 
0.5 0.6 0.053360955 0.053091029 0.053632849 
0.6 0.7 0.052493115 0.052208244 0.052789081 
0.7 0.8 0.051368164 0.05109506 0.051636809 
0.8 0.9 0.050270249 0.05000857 0.050498954 
0.9 1.0 0.048787713 0.048557534 0.049075521 
1.0 1.1 0.047367596 0.047089198 0.047586337 
1.1 1.2 0.045672409 0.045458917 0.045871698 
1.2 1.3 0.043979057 0.043739787 0.044232348 
1.3 1.4 0.042161378 0.041935986 0.042377691 
1.4 1.5 0.040198228 0.039980022 0.04037098 
1.5 1.6 0.038120812 0.037901013 0.038310066 
1.6 1.7 0.036044961 0.035849083 0.036209078 
1.7 1.8 0.033867567 0.033685441 0.03403522 
1.8 1.9 0.031641955 0.031467984 0.031805018 
1.9 2.0 0.029386076 0.029212973 0.029535229 
2.0 2.1 0.027181728 0.027016689 0.027327689 
2.1 2.2 0.025081142 0.024939911 0.025205054 
2.2 2.3 0.022739513 0.022622368 0.022869742 
2.3 2.4 0.020675014 0.020532673 0.020789218 
2.4 2.5 0.018588689 0.018507594 0.018706697 
2.5 2.6 0.016462068 0.016376102 0.016546234 
2.6 2.7 0.014552652 0.014456349 0.014642053 
2.7 2.8 0.012703502 0.012643843 0.012780302 
2.8 2.9 0.010928327 0.010886652 0.010981016 
2.9 3.0 0.0093410918 0.0093019406 0.0094056294 
3.0 3.1 0.0078340663 0.0078034654 0.0078763358 
3.1 3.2 0.0065161647 0.0064908698 0.0065531655 
3.2 3.3 0.0053902019 0.0053674398 0.0054211082 
3.3 3.4 0.0043142758 0.0042942811 0.0043343339 
3.4 3.5 0.0033613212 0.0033377272 0.0033822866 
3.5 3.6 0.0026039486 0.0025902709 0.0026263956 
3.6 3.7 0.0019864159 0.0019739311 0.0020053219 
3.7 3.8 0.0014437947 0.0014283926 0.0014509968 
3.8 3.9 0.0010471279 0.0010396075 0.0010555976 
3.9 4.0 0.00073594171 0.00072437947 0.00074587582 
4.0 4.1 0.00048156127 0.00046964408 0.00049051604 
4.1 4.2 0.00032694203 0.00032405196 0.0003335973 
4.2 4.3 0.00019639747 0.0001921462 0.00019999845 
4.3 4.4 0.0001194733 0.00011060028 0.00012160036 
4.4 4.5 5.6221658e-05 5.4848677e-05 5.9697404e-05 
4.5 4.6 2.7862413e-05 2.7524916e-05 3.0022544e-05 
4.6 4.7 1.4152981e-05 1.3163016e-05 1.4158693e-05 
4.7 4.8 5.4218859e-06 5.3677259e-06 5.7859863e-06 
4.8 4.9 1.9088126e-06 1.7312621e-06 1.97018e-06 
4.9 5.0 4.6527257e-07 4.5140724e-07 5.4961698e-07 


