# create_lambda_band.py -l 6 -e 14 -nnlo
# NNLO cross-section {center, min, max}
0.029161722 0.029087949 0.029209018 


# NNLO ptHH {ptmin, ptmax, center, min, max}
-1.0 -0.9 0.0072251509 0.007207407 0.0072397081 
-0.9 -0.8 0.0075806238 0.007560664 0.007594612 
-0.8 -0.7 0.0078904497 0.0078698391 0.0079015806 
-0.7 -0.6 0.0081576415 0.0081393981 0.0081721784 
-0.6 -0.5 0.0084009498 0.0083800913 0.0084159674 
-0.5 -0.4 0.0086097188 0.0085898706 0.0086264221 
-0.4 -0.3 0.0087810345 0.0087604545 0.0087949743 
-0.3 -0.2 0.008913153 0.0088929238 0.0089270067 
-0.2 -0.1 0.0089918783 0.0089716497 0.0090074115 
-0.1 0.0 0.0090385542 0.0090173084 0.0090546842 
0.0 0.1 0.0090486554 0.0090275701 0.0090654676 
0.1 0.2 0.0090055142 0.0089844443 0.0090193312 
0.2 0.3 0.0089164948 0.0088966525 0.0089312886 
0.3 0.4 0.008805573 0.0087842647 0.0088206334 
0.4 0.5 0.0086293272 0.0086109096 0.0086446621 
0.5 0.6 0.0084191675 0.0083973978 0.0084349185 
0.6 0.7 0.0081600044 0.0081424725 0.0081740978 
0.7 0.8 0.0078735545 0.0078545719 0.0078884748 
0.8 0.9 0.0075582689 0.0075379482 0.0075680268 
0.9 1.0 0.0072233355 0.0072049763 0.0072383434 
1.0 1.1 0.0068505418 0.006831835 0.0068613948 
1.1 1.2 0.0064460359 0.0064289163 0.0064582713 
1.2 1.3 0.0060290384 0.0060144564 0.0060401698 
1.3 1.4 0.0056145625 0.0056004477 0.0056253257 
1.4 1.5 0.0051648376 0.0051511451 0.0051725242 
1.5 1.6 0.004713331 0.0046980143 0.0047202828 
1.6 1.7 0.0042638857 0.0042515354 0.0042727236 
1.7 1.8 0.0038210357 0.0038099987 0.0038276607 
1.8 1.9 0.0033842202 0.0033767096 0.0033900092 
1.9 2.0 0.0029574793 0.0029477626 0.0029620267 
2.0 2.1 0.0025536738 0.0025451271 0.0025571139 
2.1 2.2 0.0021794879 0.0021730084 0.0021825006 
2.2 2.3 0.001836536 0.0018322227 0.0018393843 
2.3 2.4 0.001512967 0.0015066401 0.0015154713 
2.4 2.5 0.0012276737 0.0012247346 0.0012298089 
2.5 2.6 0.00097603111 0.00097424159 0.00097749484 
2.6 2.7 0.00076039691 0.00075750134 0.0007618233 
2.7 2.8 0.00057553153 0.00057449733 0.00057634574 
2.8 2.9 0.00042766002 0.0004260074 0.0004283594 
2.9 3.0 0.00031043625 0.00030953222 0.0003110169 
3.0 3.1 0.00021472078 0.00021418107 0.00021492733 
3.1 3.2 0.00014468759 0.00014391358 0.00014504968 
3.2 3.3 9.1465464e-05 9.0864237e-05 9.1912559e-05 
3.3 3.4 5.7015761e-05 5.7015099e-05 5.7124982e-05 
3.4 3.5 3.328633e-05 3.2923475e-05 3.3482543e-05 
3.5 3.6 1.923059e-05 1.9053983e-05 1.9242216e-05 
3.6 3.7 9.434847e-06 9.3286785e-06 9.5160118e-06 
3.7 3.8 4.7682528e-06 4.7400302e-06 4.7799121e-06 
3.8 3.9 2.0600083e-06 2.0095595e-06 2.1682811e-06 
3.9 4.0 9.3641452e-07 9.3193423e-07 9.6171657e-07 
4.0 4.1 3.3158625e-07 3.1412671e-07 3.3158625e-07 
4.1 4.2 1.0965143e-07 1.0889332e-07 1.1242389e-07 
4.2 4.3 4.0322609e-08 4.0322609e-08 5.0258555e-08 
4.3 4.4 1.5628273e-08 6.1632466e-09 1.5628273e-08 
4.4 4.5 9.7368224e-10 6.3627789e-10 1.0023268e-09 
4.5 4.6 1.7839324e-11 8.7832668e-12 2.0639931e-11 
4.6 4.7 9.2202097e-14 5.2378668e-14 1.0682287e-13 
4.7 4.8 0.0 0.0 0.0 
4.8 4.9 0.0 0.0 0.0 
4.9 5.0 0.0 0.0 0.0 


# NNLO ptH_s {ptmin, ptmax, center, min, max}
0.0 30.0 0.00013976751 0.00013939654 0.00014010178 
30.0 60.0 0.00027364251 0.00027293307 0.00027419918 
60.0 90.0 0.00022805327 0.00022748308 0.0002284462 
90.0 120.0 0.00014269613 0.00014234845 0.00014289831 
120.0 150.0 8.0504326e-05 8.0310767e-05 8.0592804e-05 
150.0 180.0 4.442245e-05 4.4309955e-05 4.4465062e-05 
180.0 210.0 2.4852646e-05 2.4798889e-05 2.4877622e-05 
210.0 240.0 1.4258306e-05 1.4217911e-05 1.4270961e-05 
240.0 270.0 8.4643123e-06 8.4409414e-06 8.4707105e-06 
270.0 300.0 5.1972207e-06 5.185843e-06 5.2018343e-06 


# NNLO yH_s {ptmin, ptmax, center, min, max}
-5.0 -4.9 0.0 0.0 0.0 
-4.9 -4.8 0.0 0.0 0.0 
-4.8 -4.7 0.0 0.0 0.0 
-4.7 -4.6 1.5649153e-13 6.7445959e-14 1.5649153e-13 
-4.6 -4.5 6.0073883e-10 5.9902463e-10 6.7415992e-10 
-4.5 -4.4 6.4789084e-09 6.4789084e-09 1.4062483e-08 
-4.4 -4.3 4.7926511e-08 4.0732134e-08 4.8750995e-08 
-4.3 -4.2 9.9410186e-08 9.9410186e-08 1.0288975e-07 
-4.2 -4.1 3.23702e-07 3.0424196e-07 3.2964377e-07 
-4.1 -4.0 1.6628824e-06 1.5919991e-06 1.6767952e-06 
-4.0 -3.9 2.1055993e-06 2.064856e-06 2.3332286e-06 
-3.9 -3.8 5.9509393e-06 5.7359709e-06 6.051845e-06 
-3.8 -3.7 8.5544579e-06 8.3472628e-06 8.6209761e-06 
