# create_lambda_band.py -l 0.8
# N3LO cross-section {center, min, max}
0.0098703302 0.0098669748 0.0098793215 


# N3LO ptHH {ptmin, ptmax, center, min, max}
0.6 0.7 0.0018230216 0.0018226501 0.0018250719 
0.7 0.8 0.0018072864 0.0018067706 0.0018094809 
0.8 0.9 0.0017920572 0.0017909868 0.001793239 
0.9 1.0 0.0017702473 0.0017695642 0.0017724068 
1.0 1.1 0.0017464977 0.001745589 0.0017479878 
1.1 1.2 0.0017193916 0.0017187435 0.0017209918 
1.2 1.3 0.0016914523 0.0016909225 0.0016930901 
1.3 1.4 0.0016579994 0.0016575108 0.0016588436 
1.4 1.5 0.0016242526 0.001623735 0.0016262671 
1.5 1.6 0.0015885392 0.001588486 0.0015902426 
1.6 1.7 0.0015495606 0.0015484515 0.0015507214 
1.7 1.8 0.0015027556 0.0015023689 0.0015047898 
1.8 1.9 0.0014640641 0.0014638463 0.0014648864 
1.9 2.0 0.0014085632 0.0014076363 0.0014098404 
2.0 2.1 0.0013550184 0.0013543264 0.0013557469 
2.1 2.2 0.0013031662 0.0013026329 0.0013038729 
2.2 2.3 0.0012426858 0.00124201 0.0012442163 
2.3 2.4 0.0011889868 0.0011887164 0.0011898989 
2.4 2.5 0.0011202814 0.0011199018 0.0011213737 
2.5 2.6 0.0010555263 0.0010552102 0.0010568573 
2.6 2.7 0.00098290469 0.00098216 0.00098315473 
2.7 2.8 0.00090886635 0.00090843398 0.00091024383 
2.8 2.9 0.00084311986 0.00084271321 0.00084329883 
2.9 3.0 0.0007656677 0.00076524663 0.0007669777 
3.0 3.1 0.00069622711 0.00069594262 0.00069727803 
3.1 3.2 0.00062091185 0.00061988585 0.00062091185 
3.2 3.3 0.00054603072 0.00054574331 0.00054709926 
3.3 3.4 0.00048230247 0.00048230247 0.00048313571 
3.4 3.5 0.0004108839 0.00041018741 0.00041139412 
3.5 3.6 0.00034721606 0.00034654766 0.00034721606 
3.6 3.7 0.00028720477 0.00028714116 0.00028770457 
3.7 3.8 0.00023514192 0.00023470348 0.00023539902 
3.8 3.9 0.00018834754 0.00018808254 0.00018861499 
3.9 4.0 0.00014477073 0.00014374243 0.00014519405 
4.0 4.1 0.00010672253 0.00010635444 0.00010769898 
4.1 4.2 7.3739448e-05 7.3603264e-05 7.3815171e-05 
4.2 4.3 5.2019007e-05 5.1561898e-05 5.2336778e-05 
4.3 4.4 3.4639595e-05 3.4056539e-05 3.4988881e-05 
4.4 4.5 2.0783994e-05 2.0673101e-05 2.099235e-05 
4.5 4.6 1.2870616e-05 1.2700323e-05 1.2907402e-05 
4.6 4.7 6.6604614e-06 6.6265584e-06 6.6669129e-06 
4.7 4.8 3.0704342e-06 3.0668845e-06 3.1017441e-06 
4.8 4.9 1.2167457e-06 1.1742652e-06 1.2171614e-06 
4.9 5.0 4.0351193e-07 4.0191779e-07 4.2093379e-07 


