# create_lambda_band.py -l 1.0 -nnlo
# NNLO cross-section {center, min, max}
0.0084094944 0.0083866754 0.008427812 


# NNLO ptHH {ptmin, ptmax, center, min, max}
-0.8 -0.7 0.0017208043 0.0017164947 0.0017246315 
-0.7 -0.6 0.0017487456 0.0017448559 0.0017525347 
-0.6 -0.5 0.0017787045 0.0017738867 0.0017830667 
-0.5 -0.4 0.0017930545 0.0017876146 0.001797104 
-0.4 -0.3 0.0018156938 0.0018122811 0.0018198992 
-0.3 -0.2 0.0018269531 0.0018216979 0.001830188 
-0.2 -0.1 0.0018320145 0.0018265259 0.001835586 
-0.1 0.0 0.0018389929 0.0018348632 0.0018426897 
0.0 0.1 0.0018358166 0.0018312031 0.0018404363 
0.1 0.2 0.0018296166 0.0018256034 0.0018333106 
0.2 0.3 0.0018257963 0.0018197292 0.0018292608 
0.3 0.4 0.0018146688 0.001809846 0.0018192305 
0.4 0.5 0.0017939349 0.0017903524 0.0017972711 
0.5 0.6 0.0017779821 0.0017729746 0.0017822385 
0.6 0.7 0.0017536876 0.0017491996 0.0017565188 
0.7 0.8 0.0017198391 0.0017148314 0.001724054 
0.8 0.9 0.0016885812 0.0016840027 0.0016922225 
0.9 1.0 0.0016577418 0.0016538662 0.0016613814 
1.0 1.1 0.0016191326 0.001614547 0.0016227625 
1.1 1.2 0.0015806048 0.0015763582 0.0015845887 
1.2 1.3 0.0015348009 0.0015313914 0.0015377206 
1.3 1.4 0.0014905154 0.001486506 0.0014935884 
1.4 1.5 0.0014332971 0.0014292749 0.0014366126 
1.5 1.6 0.0013806243 0.0013770252 0.0013844163 
1.6 1.7 0.0013224715 0.0013196277 0.0013256917 
1.7 1.8 0.0012739028 0.0012691294 0.0012761435 
1.8 1.9 0.0012144154 0.0012109187 0.0012179438 
1.9 2.0 0.0011557773 0.0011529808 0.0011577949 
2.0 2.1 0.0010921384 0.0010897796 0.0010945747 
2.1 2.2 0.0010246589 0.0010213666 0.0010278016 
2.2 2.3 0.00095882383 0.00095519515 0.00096122175 
2.3 2.4 0.00089289928 0.00089092654 0.00089505839 
2.4 2.5 0.00082992089 0.00082781933 0.00083198779 
2.5 2.6 0.00076114274 0.00075872984 0.00076292246 
2.6 2.7 0.00069850905 0.00069653703 0.00069983845 
2.7 2.8 0.00062917576 0.00062686505 0.00063082795 
2.8 2.9 0.0005611223 0.00055936257 0.00056215628 
2.9 3.0 0.00049857491 0.00049709924 0.00049986718 
3.0 3.1 0.00044222923 0.00044034376 0.00044319537 
3.1 3.2 0.00038300008 0.00038211932 0.00038422803 
3.2 3.3 0.00032946715 0.00032825375 0.00033008065 
3.3 3.4 0.00027790607 0.00027661549 0.00027849834 
